okay and on .. on the weekends what do you do on a weekend?	تمام و ف .. في اجازات أخر الاسبوع بتعملي ايه يوم اجازة؟	okay و ف .. في ال weekends بتعملي ايه يوم اجازة؟
okay what was the change in your personality or i mean i mean before before it and after it.	تمام كان حسيتي ايه التغيير في شخصيتك او يعني يعني قبل ما قبليها و بعديها؟	okay كان حسيتي ايه التغيير في شخصيتك او يعني يعني قبل ما قبليها و بعديها؟
okay there is .. there is a question that i want to read to you as it is because we are teaching in general would you rather be loved or respected?	تمام في .. في سؤال عاوز اقراهولك زي ما هو كده عشان يعني على اساس ان احنا التدريس عامة تفضل أنك تكون محبوب أو إن الناس تحترمك؟	okay في .. في سؤال عاوز اقراهولك زي ما هو كده عشان يعني على اساس ان احنا teaching عامة would you rather to be loved or respected?
would you like people to deal with you and do something for you because they like you or because they have to .. they have to respect you	تحبي اكتر الناس تبقى بتتعامل معاكي و تعمل الحاجة عشان بتحبك ولا عشان لازم .. لازم يحترموك?	تحبي اكتر الناس تبقى بتتعامل معاكي و تعمل الحاجة عشان بتحبك ولا عشان they have to .. they have to respect you?
okay well and why why do you feel that people come and easily talk to you?	تمام طب و يعني ليه ليه بتحسي انه الناس بتيجي تتكلم معاكي بسهولة؟	okay طب و يعني ليه ليه بتحسي انه الناس بتيجي تتكلم معاكي بسهولة؟
do you face such situations?	بتقابلي مواقف زي دى؟	بتقابلي مواقف زي دى؟
or do you feel ..	ولا بتحسي ..	ولا بتحسي ..
okay .. when .. do you feel difficulty when talking to people from a different social level? lower or higher?	تمام بت .. لم .. بتحسي بصعوبة لما تيجي تتكلمي مع ناس من مستوى اجتماعي مختلف؟ اقل او اعلى؟	okay بت .. لم .. بتحسي بصعوبة لما تيجي تتكلمي مع ناس من social level مختلف؟ اقل او اعلى؟
okay well that .. that is to .. impress the other or to make him feel that i can speak this language	تمام طيب ده .. ده علشان تب .. تبهري اللي قدامك او تحسسيه ان انا يعني انا عارف اتكلم اللغة دى	okay طيب ده .. ده علشان تب .. تبهري اللي قدامك او تحسسيه ان انا يعني انا عارف اتكلم اللغة دى
well are there other situations where you spoke in english to show others that you understand but actually you are talking about a topic that you do not understand well?	طب في بقى مواقف تانية اتكلمتي إنجليزي علشان تحسسي اللي قدامك انك فاهمه بس فعلاً انت بتتكلمي في حاجة انت مش فاهمها كويس؟	طب في بقى مواقف تانية اتكلمتي english علشان تحسسي اللي قدامك انك فاهمه بس actually انت بتتكلمي في حاجة انت مش فاهمها كويس؟
i mean because some people may use this way to hide	يعني علشان في ناس بتستخدم ده علشان تداري	يعني علشان في ناس بتستخدم ده علشان تداري
for example all of us have done that in .. in evaluation of for example projects	مثلا احنا كلنا عملنا ده في .. في تقييم مثلا المشاريع	مثلا احنا كلنا عملنا ده في .. في evaluation مثلا projects
i can keep talking while i do not even understand	فممكن اقعد اتكلم وانا مش فاهم اصلا	فممكن اقعد اتكلم وانا مش فاهم اصلا
what do you like the most about your character? in your way?	طيب ايه اكتر حاجة بتحبيها في شخصيتك؟ في طريقتك؟	طيب ايه اكتر حاجة بتحبيها في شخصيتك؟ في طريقتك؟
okay can you live without a mobile?	تمام تقدري تعيشي من غير موبايل؟	okay تقدري تعيشي من غير mobile?
well  can you choose anything and convince me with it? anything for example i'm i'm met like you were met choose for example to .. to .. to work for example ta or to go for a company? anything and convince me with it	طيب  ممكن تختاري اي حاجة و تقنعيني بيها؟ اي حاجة يعني مثلا انا انا أم اي تي زي ما انت كنت أم اي تي مثلا اختاري ا .. ا .. اشتغل مثلا مدرس مساعد ولا اروح شركة؟ ا .. اي حاجة و اقنعيني بيها	طيب  ممكن تختاري اي حاجة و تقنعيني بيها؟ اي حاجة يعني مثلا انا انا met زي ما انت كنت met مثلا اختاري ا .. ا .. اشتغل مثلا ta ولا اروح شركة؟ ا .. اي حاجة و اقنعيني بيها
you convinced me, you convinced me because i was thinking of that	اقنعتني، اقنعتني عشان انا كنت بفكر في كده	اقنعتني، اقنعتني عشان انا كنت بفكر في كده
merci merci	شكرا شكرا	merci merci
okay can can you tell us where were you born?	تمام ممكن ممكن تقوليلنا اتولدتي فين؟	okay ممكن ممكن تقوليلنا اتولدتي فين؟
or or did you go to national or international school your education generally?	او او يعني دخلتي مدرسة لغات ولا دولية تعليمك عامة؟	او او يعني دخلتي مدرسة national ولا international تعليمك عامة؟
okay what was your major or the university, it's not important the name of the university itself, what is your major i mean you study scope?	تمام  كنت تخصص إيه أو الجامعة مش لازم اسم الجامعة نفسها التخصص يعني الدراسة ؟	okay  كنت major إيه أو الجامعة مش لازم اسم الجامعة نفسها ال major يعني الدراسة ؟
okay and what was your bachelor project?	تمام وكان مشروع التخرج ايه؟	okay وكان ال bachelor project ايه؟
can you tell us what do you do in your day when you wake up in the morning?	طب ممكن تقوليلنا بتعملي إيه في يومك لما تصحي الصبح؟	طب ممكن تقوليلنا بتعملي إيه في يومك لما تصحي الصبح؟
your daily routine	روتينك اليومي	your daily routine
i mean your daily routine generally how does your day go where do you go you drive the kids you go to work something like that.	يعني الروتين اليومي عامة يومك بيمشي ازاي بتروحى فين بتوصلي الاولاد بتيجي الشغل كده يعني	يعني daily routine عامة يومك بيمشي ازاي بتروحى فين بتوصلي الاولاد بتيجي الشغل كده يعني
okay	تمام	okay
okay what was the most quote that you have read that you like or which is remarkable for you quote?	تمام طيب كان إيه أكتر مقولة أنت قريتها بتحبيها او معلمة معاكي مقولة؟	okay طيب كان إيه أكتر quote أنت قريتها بتحبيها او معلمة معاكي quote؟
is there any piece of quote that you like in general?	في أي حتة مقولة عامة بتحبيها؟	في أي حتة quote عامة بتحبيها؟
okay well okay well who is your favorite artist? which artist do you like watching the most or reading for generally?	تمام طيب ماشي طب انت الفنان المفضل بتاعك؟ أكتر حد بتحبي تتفرجي عليه او تقريله فنان عامة ؟	okay طيب ماشي طب انت ال favorite artist بتاعك؟ أكتر حد بتحبي تتفرجي عليه او تقريله artist عامة ؟
is there somebody .. in a certain thing .. is there any specific person or is there not?	في حد .. في حاجة .. في حد معين ولا مافيش؟	في حد .. في حاجة .. في حد معين ولا مافيش؟
okay okay sport?	تمام طيب رياضة؟	okay طيب sport?
favorite sport?	رياضة مفضلة؟	favorite sport?
okay  okay so when you were at the university in general were you enrolled in clubs or were you in scout or anything of that sort?	تمام  ماشي طب انت عامة اما كنت في الجامعة دخلتي نشاط او كنت في كشافة او كده؟	okay  ماشي طب انت عامة اما كنت في الجامعة دخلتي clubs او كنت في scout او كده؟
okay well can you tell us what the role was about and which department you were in, for instance which project were you working on and so on?	تمام طب ممكن تقوليلنا المهام كانت إيه و كنت في أنهي قسم مثلا كنتوا بتشتغلوا مشروع إيه او كده؟	okay طب ممكن تقوليلنا ال role كانت إيه و كنت في أنهي department مثلا كنتوا بتشتغلوا project إيه او كده؟
okay well okay do you like listening to english or arabic songs?	تمام ماشي طيب بتحبي تسمعي أغاني إنجليزي ولا عربي؟	okay ماشي طيب بتحبي تسمعي أغاني english ولا عربي؟
which movie do you like most?	طيب أكتر فيلم بتحبيه؟	طيب أكتر فيلم بتحبيه؟
nothing?	مافيش؟	مافيش؟
okay	تمام	okay
okay	ماشي	ماشي
okay do you you have kids or so?	تمام انت أنت عندك اولاد او كده?	okay انت أنت عندك اولاد او كده?
okay  okay	تمام  ماشي	okay  ماشي
which job do you want to have?	كان نفسك تشتغلي إيه؟	كان نفسك تشتغلي إيه؟
did you wish to have another job?	كنت حابة تكوني شغلانة تانية؟	كنت حابة تكوني شغلانة تانية؟
or what was your dream job generally back at the university and back at school?	او يعني إيه وظيفة الأحلام بتاعتك عامة و أنت في الجامعة و انت في المدرسة؟	او يعني إيه ال dream job بتاعتك عامة و أنت في الجامعة و انت في المدرسة؟
okay	تمام	okay
why?	ليه؟	ليه؟
okay	تمام	okay
what if one day, let's suppose that it can happen, which is not applicable, what if you choose to be a student again would you do that or would you still prefer that you have passed such phase.	فلو انت في يوم و ده لو نفترض انه موجود هو مش حاجة يعني لو ينفع بس لو انت في يوم اختارتى انك ترجعى تانى طالبة هتعملي كده ولا برضه انتي بتفضلي خلاص إن أنت عديتي المرحلة دي	فلو انت في يوم و ده لو نفترض انه موجود هو مش حاجة يعني applicable بس لو انت في يوم اختارتى انك ترجعى تانى student هتعملي كده ولا برضه you prefer خلاص إن أنت عديتي المرحلة دي
i mean many said before that they do not like that they yes it was more comfortable and easier but we do not want to go back to being students	يعنى كان قبليكي قالوا ان هم مثلا لأ مش حابين ان احنا اه هي كانت اريح و اسهل بس احنا مش عايزين نرجع طلبة	يعنى كان قبليكي قالوا ان هم مثلا لأ مش حابين ان احنا اه هي كانت اريح و اسهل بس احنا مش عايزين نرجع student
do you still talk and interact together or when yo return back?	لسا بتتكلموا و بتتعاملوا ولا اما رجعتي؟	لسا بتتكلموا و بتتعاملوا ولا اما رجعتي؟
in this trip, what were you doing?	السفرية دى كأنت كنت بتعملي ايه؟	السفرية دى كأنت كنت بتعملي ايه؟
master's for example or?	الماجستير مثلا او؟	master's مثلا او؟
okay okay well can can you tell us about your phd can we hear about it?	تمام ماشي طب ممكن ممكن تحكيلنا ع الدكتوراه نسمع عنها؟	okay ماشي طب ممكن ممكن تحكيلنا ع ال phd نسمع عنها؟
okay no problem	تمام مش مشكلة	okay مش مشكلة
okay okay is there a place you want to travel to apart from for example germany that you have already visited or have you traveled another trip?	تمام طيب في مكان عاوزة تسافريه معين غير مثلا ألمانيا اللى أنت روحتيها او سافرتي سفارية تانية؟	okay طيب في مكان عاوزة تسافريه معين غير مثلا germany اللى أنت روحتيها او سافرتي سفارية تانية؟
is there a place that you haven't yet visited and would like to go to?	في مكان ماروحتيهوش عاوزة تروحيه؟	في مكان ماروحتيهوش عاوزة تروحيه؟
okay why is that?	ماشي اشمعنى؟	ماشي اشمعنى؟
are there reasons?	في أسباب؟	في أسباب؟
are there reasons for that?	في أسباب ل ده؟	في أسباب ل ده؟
okay	تمام	okay
okay okay can you tell us about your last trip to egypt or so where have you gone to?	ماشي طيب ممكن تحكيلنا عن آخر أجازة قضيتها في مصر سفرية او كده روحتي فين؟	ماشي طيب ممكن تحكيلنا عن آخر أجازة قضيتها في مصر سفرية او كده روحتي فين؟
what did you do?	عملتي إيه؟	عملتي إيه؟
i mean briefly	باختصار يعني	briefly يعني
okay	تمام	okay
do you like the place there or what have you visited for example?	بتحبي المكان هناك أو زورتى إيه مثلا؟	بتحبي المكان هناك أو زورتى إيه مثلا؟
okay	تمام	okay
okay but there is definitely a time or moment that made you change your mind or change for example for example your university major	تمام بس أكيد في وقت أو لحظة خليتك غيرتى حاجة تفكيرك أو غيرتى مثلا مثلا التخصص في الجامعة	okay بس أكيد في وقت أو لحظة خليتك غيرتى حاجة تفكيرك أو غيرتى مثلا مثلا major في الجامعة
you changed something that made you think differently	غيرتي حاجة خلتك تفكري بشكل تاني مختلفة	غيرتي حاجة خلتك تفكري بشكل تاني مختلفة
have you faced something like that or was life moving smoothly	حصل حاجة زى كده ولا كنت الحياة ماشية او ماشية بسلاسة عادي.	حصل حاجة زى كده ولا كنت الحياة ماشية او ماشية smoothly عادي.
okay	تمام	okay
okay so a tough question is there a main role model role model in your life?	تمام طيب سؤال صعب شوية في مثل أعلى مثل أعلى في حياتك اساسي؟	okay طيب سؤال صعب شوية في role model role model في حياتك اساسي؟
someone in specific?	حد معين؟	حد معين؟
okay	تمام	okay
okay	تمام	okay
okay i will read the question as it is in a class or in general would you rather be liked or respected?	طيب يعني انا السؤال هقراه زى ما هو كده اللي هو في الفصل أو عامة تفضلي تكوني محبوبة ولا ان الناس تحترمك؟	طيب يعني انا السؤال هقراه زى ما هو كده اللي هو in a class أو عامة would you rather be liked or respected؟
okay do you feel like you are an easy person to talk to or not?	ماشي بتحسي نفسك شخص سهل الناس تتكلم معاه ولا صعب شويه؟	ماشي بتحسي نفسك شخص سهل الناس تتكلم معاه ولا صعب شويه؟
okay	ماشي	ماشي
do you feel it is difficult to deal with people from different social level?	بتحسي الموضوع صعب شوية انك تتعاملي مع ناس من مستوى اجتماعي مختلف؟	بتحسي الموضوع صعب شوية انك تتعاملي مع ناس من social level مختلف؟
higher or lower	اعلى او اقل؟	اعلى او اقل؟
do you feel the situation	بتحسي الوضوع ..	بتحسي الوضوع ..
do you not feel like when we're talking to people from a lower social level that you are not talking in the same way you would use with other people for example?	مثلا مابتحسيش واحنا بنتكلم مع ناس مستوى اجتماعي أقل انه انا مش عارف اتكلم بنفس الطريقة اللى بتكلم معاها مع كل الناس مثلا؟	مثلا مابتحسيش واحنا بنتكلم مع ناس social level أقل انه انا مش عارف اتكلم بنفس الطريقة اللى بتكلم معاها مع كل الناس مثلا؟
so he may not understand me if i talk in english or if i said anything he would not understand me	فهو ممكن مايفهمنيش لو انا اتكلمت إنجليزي اتكلمت اي حاجة مش هيفهمني؟	فهو ممكن مايفهمنيش لو انا اتكلمت english اتكلمت اي حاجة مش هيفهمني؟
or do you know how to deal with it immediately that once the person i'm talking to does not understand i will talk to him normally?	ولا بتعرفي تتعاملي على طول انه أول اللي قدامي مش فاهم ده هعرف اتكلم معاه عادي؟	ولا بتعرفي تتعاملي على طول انه once اللي قدامي مش فاهم ده هعرف اتكلم معاه عادي؟
okay okay	تمام ماشي	okay ماشي
okay	تمام	okay
i do not understand	مش فاهم	مش فاهم
okay okay what's the primal thing that makes you stressed?	ماشي طيب إيه أكتر حاجة بتخليكي تحسي انك مضغوطة؟	ماشي طيب إيه أكتر حاجة بتخليكي تحسي انك stressed؟
you get stressed when it happened?	بتتوتري لما بتحصل؟	بتتوتري لما بتحصل؟
okay how do you handle such a situation?	تمام و ازأي بتتعاملى مع الموقف ده؟	okay و ازأي بت handle#ى الموقف ده?
okay okay did it happen before that while you were talking to someone or for instance when you were a student during an evaluation or so you were talking about a topic that you don't understand well so you were talking in english or alternating languages or showing the other person that you understand well?	تمام طيب في مرة و انت بتتكلمي مع حد او بت مثلا و أنت طالبة في تقييم او كده كنت انت بتتكلمي في موضوع أنت مش فهماه كويس فكنت بتتكلمي إنجليزي او بتغيري اللغات او بتحسسي اللي قدامك انك فاهمه اوي؟	okay طيب في مرة و انت بتتكلمي مع حد او بت مثلا و أنت student في evaluation او كده كنت انت بتتكلمي في topic أنت مش فهماه كويس فكنت بتتكلمي english او بتغيري languages او بتحسسي اللي قدامك انك فاهمه اوي؟
so you used to do that?	فكنت بتعملي كده؟	فكنت بتعملي كده؟
almost all of us	كلنا تقريبا	كلنا تقريبا
okay and how did the other person react?	تمام و كان رد فعل الشخص اللى قدامك إيه؟	okay و كان reaction الشخص اللى قدامك إيه؟
so he believed that you understand well or did he keep pressuring you with questions and no but how and so on?	يعني هو مصدق ان أنت فاهمه اوى ولا ولا لأ قعد يضغط بقى في الاسئلة و لأ طب ازاي و عم و ايه كده؟	يعني he believed ان أنت فاهمه اوى ولا ولا لأ قعد يضغط بقى في الاسئلة و لأ طب ازاي و عم و ايه كده؟
okay okay did you do the same just to make others feel that is to impress others?	ماشي طيب عملتي برضه نفس الموقف ده بس علشان تقدري تخلي اللى قدامك يحس اللي هو تبهري اللي قدامك؟	ماشي طيب عملتي برضه نفس الموقف ده بس علشان تقدري تخلي اللى قدامك يحس اللي هو to impress اللي قدامك؟
i mean if there is for example actually there was someone who said that he did so at at school for a school interview to be able to to enroll his son to school so he had to speak english in the interview and so on?	يعني اذا كان مثلا يعني مثلا كان في حد قال انه عمل كده في في مدرسة علشان مقابلة مدرسة علشان يعرف يدخل الولد في المقابلة فلازم قعد يتكلم إنجليزي وكده؟	يعني اذا كان مثلا يعني مثلا كان في حد قال انه عمل كده في في مدرسة علشان interview مدرسة علشان يعرف يدخل الولد في ال interview فلازم قعد يتكلم english وكده؟
so did you need to do that to make the other people get impressed or something of that sort?	فاحتجتي تعملي كده علشان الناس اللي قدامك تنبهر او كده؟	فاحتجتي تعملي كده علشان الناس اللي قدامك تنبهر او كده؟
okay	تمام	okay
well, can you do without a mobile?	طب تقدري تعيشي من غير موبايل؟	طب تقدري تعيشي من غير mobile؟
why?	ليه؟	ليه؟
okay	تمام	okay
okay that's it okay merci.	طب خلاص ماشي شكرا.	طب خلاص ماشي merci.
okay that's it	اه خلاص	اه خلاص
okay would you .. would you please tell us about your background for example where were you born and what did you study .. i studied at .. where and so on, it's not important to mention the school name but is it international school, national, what was the language? and so on	طيب ممكن .. ممكن تحكيلنا عن خلفيتك يعنى مثلا انت اتولدت فين و اتعلمت ايه .. اتعلمت في ..فين و كده، مش لازم اسم المدرسة بس مدرسة قومية ،دولية، اللغات إيه؟ كده يعني	طيب ممكن .. ممكن تحكيلنا عن background يعنى مثلا انت اتولدت فين و اتعلمت ايه .. اتعلمت في ..فين و كده، مش لازم اسم المدرسة بس مدرسة national ،international، ال language إيه؟ كده يعني
okay where are you originally from? from cairo or not from ..?	تمام أنت منين اصلا؟ من القاهرة ولا من ..؟	okay أنت منين اصلا؟ من القاهرة ولا من ..؟
okay okay what is your bachelor about?	تمام طيب مشروع التخرج بتاعك عن إيه؟	okay طيب bachelor بتاعك عن إيه؟
okay okay what is your .. is your favorite sport the one you play the most.	طيب ماشي إيه ال .. إيه الرياضة المفضلة بتاعتك أكتر رياضة بتلعبها	طيب ماشي إيه ال .. إيه ال favorite sport بتاعتك أكتر رياضة بتلعبها
okay okay how often do you play basketball?	تمام طب تلعب سلة كل قد إيه؟	okay طب تلعب basket كل قد إيه؟
in general how long have you been playing?	عامة بقالك قد إيه بتلعب؟	عامة بقالك قد إيه بتلعب؟
okay what is the most movie favorite movie you like? and why? or can you please briefly tell us about it	ماشى إيه أكتر فيلم فيلم مفضل أنت بتحبه؟ و ليه؟ او ممكن تحكيلنا عنه حبة كده	ماشى إيه أكتر فيلم favorite movie أنت بتحبه؟ و ليه؟ او ممكن تحكيلنا عنه حبة كده
okay would you please tell us briefly about it .. if you like	طب ممكن تحكيلنا عنه شوية لو .. لو أنت حابب يعنى	طب ممكن تحكيلنا عنه شوية لو .. لو أنت حابب يعنى
okay	ماشى	ماشى
would you like most to be a freelancer or to work in a field that you like?	أنت تحب أكتر تبقي مستقل يعني أو تشتغل حاجة حسب مزاجك؟	أنت تحب أكتر تبقي freelancer يعني أو تشتغل حاجة حسب مزاجك؟
okay okay  have you done before  internships or have you worked before a part-time or full-time job or anything of that sort?	تمام طيب  أنت عملت قبل كده  فترات تدريب او اشتغلت في شغل قبل كده دوام كامل او دوام جزئي أو اي حاجة؟	okay طيب  أنت عملت قبل كده  internships او اشتغلت في شغل قبل كده part-time او full-time أو اي حاجة؟
okay	تمام	okay
why is that? why did you accept that opportunity?	اشمعنى؟ اشمعنى تقبل الفرصة دي؟	اشمعنى؟ اشمعنى تقبل الفرصة دي؟
would you please tell us about .. about .. about the one you liked the most and the one where you did many activities it is not necessary to be the last one	ممكن تحكيلنا عن .. عن .. عن أكتر واحدة عجبتك او أكتر حاجة عملت فيها أنشطة مش لازم آخر واحدة يعني	ممكن تحكيلنا عن .. عن .. عن أكتر واحدة عجبتك او أكتر حاجة عملت فيها activities مش لازم آخر واحدة يعني
the most place i did activities in was aswan	أكتر حاجة عملت فيها أنشطة كانت أسوان	أكتر حاجة عملت فيها activities كانت أسوان
okay	تمام	okay
okay	تمام	okay
okay do you like reading?	طيب أنت بتحب القراية؟	طيب أنت بتحب القراية؟
okay okay  could you tell us about for example about certain time in your life when you feel that it is a turning point or made you think in a different way not .. you were doing something or thinking or something and you suddenly completely change your mind	ماشى طيب  ممكن قلنا مثلا وقت في حياتك كنت حسيت إن ده نقطة تحول او خلتك تفكر بطريقة مختلفة مش .. يعنى كنت بتعمل حاجة أو بتفكر في حاجة و فجأة غيرت تفكيرك كله	ماشى طيب  ممكن قلنا مثلا وقت في حياتك كنت حسيت إن ده turning point او خلتك تفكر بطريقة مختلفة مش .. يعنى كنت بتعمل حاجة أو بتفكر في حاجة و فجأة غيرت تفكيرك كله
okay  in your part-time job that you were doing or in the internships or in the university do you much prefer to work on a team or to work individually and to be in charge of everything?	ماشى  طيب  في شغلك في الدوام الجزئي اللي انت عملته او في التدريبات أو في الجامعة بتحب تشتغل أكتر في فريق ولا بتشتغل لوحدك و أنت مسئول عن كل حاجة؟	ماشى  طيب  في شغلك في ال part-time اللي انت عملته او في ال internships أو في الجامعة بتحب تشتغل أكتر في team ولا بتشتغل لوحدك و أنت مسئول عن كل حاجة؟
okay well and .. how to be a team leader and how to encourage the team and that they should be .. if someone was okay with working then he failed to continue, how should i encourage him?	تمام ماشى طب و .. و ازاي لو انت قائد الفريق إزاى بتشجع الفريق ولا لازم هم يكونوا .. يعنى لو واحد اه تمام هو بيشتغل بس هو بعديها يعني خستع شويه فازاي بتشجعه؟	okay ماشى طب و .. و ازاي لو انت leader team إزاى بتشجع ال team ولا لازم هم يكونوا .. يعنى لو واحد اه okay هو بيشتغل بس هو بعديها يعني خستع شويه فازاي بتشجعه؟
you mean if i have another role model in real life?	في مثل أعلى تانى في الحياة الواقعية يعنى؟	في role model تانى في ال real life يعنى؟
do you prefer that people do you a favor because they like you or because they have to respect you as they believe that they do this because they respect you?	يعني أنت تحب أكتر تكون الناس بتعمل حاجة دى علشان بتحبك ولا علشان المفروض ان هم يعملوا ده وعشان هم بيحترموك .. بيحترموا ان انت لازم ده يتعمل	يعني أنت تحب أكتر تكون الناس بتعمل حاجة دى علشان بتحبك ولا علشان they have to ان هم يعملوا ده وعشان هم they respect .. respect you ان انت لازم ده يتعمل
good	حلو	حلو
do you that you are an easy person to talk with and to have a friendly talk with or you need ice breaking for some time?	طيب انت بتعتبر نفسك شخص سهل الناس تتكلم معاه وتاخد عليك ولا لازم فترة تعارف كده؟	طيب انت بتعتبر نفسك شخص سهل الناس تتكلم معاه وتاخد عليك ولا لازم فترة ice breaking كده؟
why?	ليه؟	ليه؟
so people don't talk with you easily and don't get used to you.	الناس مابتخشش ان هي تتكلم معاك و تتعود عليك بسرعة	الناس مابتخشش ان هي تتكلم معاك و تتعود عليك بسرعة
okay	ماشى	ماشى
even if you don't interact with people in an education context, you will meet in an event or something.	حتى لو بتتعاموا مش في حاجة ليها علاقة بالتعليم هتتعاملوا عامة في حاجة مناسبة أو أى حاجة؟	حتى لو بتتعاموا مش في حاجة ليها علاقة بال education هتتعاملوا عامة في حاجة event أو أى حاجة؟
okay	تمام	okay
well okay	ماشى طيب	ماشى طيب
what they usually tell you that he always does this	أكتر حاجة بيقولولك انت بتعمل كده دايما	أكتر حاجة بيقولولك انت بتعمل كده دايما
for example, you don't sit with us.	انت مثلا مثلا مابتقعدش معانا مثلا	انت مثلا مثلا مابتقعدش معانا مثلا
okay and have you .. used english in the middle of your speech so that people in front of you .. you .. think that okay you're in a higher social level definitely?	تمام طب و عملت .. استخدمت قبل كده الإنجليزي في كلامك علشان تخلي الناس قدامك ت .. ت .. تفتكر إن هو تمام يفكروا ان انت من مستوى اجتماعي أعلى يعني?	okay طب و عملت .. استخدمت قبل كده ال english في كلامك علشان تخلي الناس قدامك ت .. ت .. تفتكر إن هو okay يفكروا ان انت you're higher social level يعني?
okay.what makes you very stressful?	ماشي طيب إيه أكتر حاجة بتخليك متوتر مضغوط جدا	ماشي طيب إيه أكتر حاجة بتخليك stressful مضغوط جدا
okay, well  you can choose anything and persuade us to do.	ماشى طيب  ممكن تختار أى حاجة و تقنعنا بيها	ماشى طيب  ممكن تختار أى حاجة و تقنعنا بيها
anything, anything like traveling or working.	أى حاجة، أى حاجة إن أحنا نسافر أن أحنا نشتغل أى حاجة	أى حاجة، أى حاجة إن أحنا نسافر أن أحنا نشتغل أى حاجة
for example, we are here at the .. university and we haven't traveled abroad so why did you travel abroad?	يعني مثلا أحنا قاعدين هنا في ال .. في الجامعة ماسافرناش برا، انت ليه سافرت؟	يعني مثلا أحنا قاعدين هنا في ال .. في الجامعة ماسافرناش برا، انت ليه سافرت؟
persuade me as i was not convinced to travel abroad.	اقنعنى انا مثلا ماقتنعتش ان انا اسافر	اقنعنى انا مثلا ماقتنعتش ان انا اسافر
no.	لأ	لأ
