Batman vs Superman	batman banaam superman	batman vs superman
As well as when Stark defeats Stane on top of his building.	saath hii jaba stark ney stein koo usaki imarat key sheersh parr haraa diyaa.	tab shark tho stane ko defeat kar raha tha us uper vali building se
You'll have to watch it again and refresh your memory!!!	aapako ise dobara dekhana hoga aur apani yaaddaasht taazaa karni hogi!!!	aap dusre baar is movie ko dekho aur yaadon ko refresh karo
I think I recall that	mujhe lagata haye mujhe vaha yaad haye	mein bhi kuch aaise hi sochtha tha
Yes, I do need to watch it again	haan, mujhe ise dobara dekhane kii zaroorat haye	haa.. mein jarur dekhunga
maybe during spring break	shayed spring break key dauran	spring ka break mein dekh lunga
Perfect! You can follow up with the sequels. Haha	uttam! aap agali kadee kaa anusaran curr sakate hain. haaha	perfect ! aap sequels bhi followup karo.. ha ha
it's one of those movies you can just pick up and watch any time	yeh una filmon mein seey ack haye jise aap kissy bhee samay uthaa sakate hain aur dekh sakate hain	yeh in movies mein yek hein, aap abhi hi pick up karo aur kabhi bhi watch kar sakthe hein
you don't really need to know the background	aapako vaastav mein prishthabhoomi jaanane kii aavashyakta naheen haye	aap ko tho yeh background ko patha hi nahi
Definitely! Even for the sequels. Still enjoyable. Well, it's been nice chatting! Enjoy the rest of your day.	nishchit roop seey! seekwal key liye bhee. phir bhee anandadayak. khair, baatchit karke bahut achchha lagaa! aki dinn kaa anand lein.	Definitely! mein sequels bhi dekh lunga.. bahut maja aayaga.. tho apse chat karne se ache laga... rest of the day enjoy karo..
HI	namaste	namaste
HI	namaste	namaste
DID YOU SEE THIS FILM  WONDER WOMAN	kyaa aapane yeh film wonder women dekhi?	kya aapne wonder woman film  dekha hai
YES	haan	haa
DO U LIKE THIS FILM?	kyaa aapako yeh film pasand haye?	kya yah film aap ko pasand hai?
S I LIKE THIS FILM	aiss mujhe yeh film pasand haye	mujhe ye film pasand hai
IT IS BASED ON DC COMISC. THE DISTRIBUTED BY WAMER BROS. PICTURES	yeh dc comics parr adharit haye. warner brothers dwara vitarit. chitra	yah dc comic par aadharit hai. wamer bros pictures  ne vitarit kiya hai
YEAH IT IS A  FAMOUS DC COMICS.	haan, yeh ack prasiddh dc comics haye.	Haan wo ek famous DC Comics hai
GOOD	achchha	Accha
THIS IS  German Army (German Empire)	yeh german senaa haye (german samrajya)	Yeh hai German Army (German Empire)
yes i know. The term Deutsches Heer is also used for the modern German Army, the land component of the Bundeswehr.	haan mujhe pataa haye. diaches heer shabd kaa prayog aadhunik german senaa, bundeswehr key bhoomi ghatak, key liye bhee kiya jaataa haye.	Haan main jaanta hu. Ye term Deutsches Heer modern German Army k lie bhi use hoto hai. Bundeswehr ka land component
S APART FROM THIS Jenkins's role as director makes her the first female director of a live-action, theatrically released comic book superhero film.	aiss key alawa nirdeshak key roop mein jenkins kii bhoomika unhein live-action, naatakiya roop seey jaari comic book superheiro film kii pahali mahila nirdeshak banaati haye.	Iske alawa Jenkin ka role as a director use pahli women director bana deta hai kisi bhi live-action theatrically released comic book superhero film ka
ARE YOU LIKE THAT MOVIE	kyaa aapako vaha film pasand haye?	Tumhe wo movie pasand aayi?
YES I LIKE THAT. AND ALSO I ENJOYED THIS MOVIE.	haan mujhe vaha pasand haye. aur maine iss film kaa anand bhee liya.	Haan mujhe pasand aayi aur maine is movie ko enjoy bhi kiya
OH HOW MANY TIMES YOU SEE THIS MOVIE	oh, aapane yeh film kitni baar dekhi haye	Oh kitne baar dekh chuke ho ye movie?
2 TIMES I WATCHED THIS MOVIE.	maine yeh film 2 baar dekhi.	main ye movie 2 baar dekh chuka hu
ARE YOU LIKE THIS MOVIE DIRECTOR	kyaa aap iss film nirdeshak koo pasand karate hain?	Tumhe movie ki director pasand aayi kya?
ARE YOU FROM	kyaa aap iss jagah seey hain	Aap kaha se hai?
YEAH I LIKE THIS FILM DIRECTOR.	haan, mujhe yeh film nirdeshak pasand haye.	Ha mujhe ye film director pasand hai
YEAH	haan	Ha
WHAT YEAH	kyaa haan?	Kya ha
ARE YOU FROM	kyaa aap iss jagah seey hain	Aap kaha se hai
YES I AM HERE	haan main yahaan huun	Ha my yaha hoon
WHY DO LIKE THIS FILM?	aapako yeh film kyon pasand haye?	Kyu ye film pasand hai
YES I LIKE THIS FILM	haan mujhe yeh film pasand haye	Ha mujhe ye movie pasand hai
BUT IAM NOT SEE THIS MOVIE	lekin main yeh film naheen dekh rhaa huun	Lekin my ye movie nahi dekha
WHY DO DID NOT SEE THAT? DO YOU KNOW THIS MOVIE IS REALLY GOOD	vaha kyon naheen dekhaa? kyaa aap jaanate hain yeye film vakai bahut achchi haye	Kyu dekh nahi sakte ho?tumhe pata hai  yah movie bahut achi hai
WHICH CHARECTER YOU LIKE THIS MOVIE	aapako iss film kaa kaun saa kirdar pasand haye	IS FILM ME KAUN SE BHUMIKA AAP KO ACHHA LAGA
I LIKE ALL THE CHARACTER IN THIS FILM	mujhe iss film key sabhi kirdar pasand hain	IS FILM MEMUJHE SAB BHUMIKA ACHHI LAGI
OH REALLY	sach mein	SACH
THAT NICE	kii achchha	BEHTHAR
OK FINE	achchi baat haye	BAHUT ACHHA
Hey, have you seen The Avengers? It's a pretty good movie, you should check it out if you like Robert Downey Jr.	arey, kyaa aapane avengers dekhi haye? yeh ack bahut achchi film haye, aggar aapako robbert downey junier pasand haye tou aapako ise dekhana chaahiye.	hey, kya tumne Avengers dekhi?The Avengers?ye pretty good movie he, tumhe check karna chahiye agar tum Robert Downey Jr, ko like karte ho.
YES, I KNOW AND ALSO I LIKE THE MOVIE	haan, mujhe pataa haye aur mujhe yeh film pasand bhee haye	yes, me janata hu and me ye movie like karta hu
It's really great what Mark Ruffalo did as Bruce Banner/The Hulk, making him so calm yet ready to become a volcano don't you think?	broose banner/dha hulk key roop mein maark rafalo ney joe kiya vaha vaastav mein bahut achchha haye, jisase vaha itna shaant hoe gayaa kii phir bhee jwalamukhi banane key liye taiyar hoe gayaa, kyaa aapako naheen lagata?	yah vaastav mein bahut achchha hai ki maark raphphaalo ne broos bainar / da halk ke roop mein kya kiya, jisase vah itana shaant ho gaya ki aap jvaalaamukhee banane ke lie taiyaar nahin hain?
Yes, I think so	haan mujhe aisaa lagata haye	haan mujhe aisa lagata hai
I'm not always a big Joss Whedon fan, but he did a good job with the humor to spice up the team origin story. Were you surprised that it worked with so many characters?	main hamesha joss wheadon kaa bahut badaa prashansak naheen huun, lekin unhone team kii utpatti kii kahani koo masala dene key liye haasy key saath achchha kaam kiya. kyaa aap aashcharyachakit they kii isane itane saare paatron key saath kaam kiya?	main hamesha ek bada  Joss Whedon prashansak nahin hoon, lekin unhonne teem kee mool kahaanee ko masaala dene ke lie haasy ke saath achchha kaam kiya. kya aap aashcharyachakit the ki isane kaee paatron ke saath kaam kiya?
Strictly, this may be his main potential	sachmuch, yeh usaki mukhya kshamata hoe sakati haye	sakhtee se, yah usakee mukhy kshamata ho sakatee hai
I would say Robert Downey Jr. is also playing to his potential here, with his sharp tongue and sophistication. Who was your favorite character?	main kahoonga kii robbert downey junier bhee apani teekhi juban aur parishkaar key saath yahaan apani kshamata key anusaar khel rahey hain. aapka pasandida paatr kaun thaa?	main kahoonga ki Robert Downey Jr bhee yahaan apanee kshamata ke saath khel rahe hain, apanee tej jeebh aur parishkaar ke saath. aapaka pasandeeda charitr kaun tha?
Robert Downey is my favorite favorite CHARACTER	robbert downey meraa pasandida pasandida charitra haye	Robert Downey mera sabase pasandeeda pasandeeda charitr hai
Did you think he made a good leadership figure of the Avengers or did anybody else stand out to you more that way?	kyaa aapako lagata haye kii vaha avengers key liye ack achchha netritvakarta bunn gayaa haye yaa kyaa koee aur usa tarah seey aapke saamane khadaa haye?	kya aapako lagata hai ki unhonne evenjars kee achchhee leedaraship kee ya kisee aur ne aapako is tarah se khada kiya?
No, he is right	naheen, vaha sahee haye	nahin, vah sahee hai
That opening with the Tesseract escape was pretty cool, setting the tone for the movie.	tesseract escape key saath vaha shuruat bahut achchi thee, jisane film key liye mahaul taiyar curr diyaa.	Tesseract se bachakar nikalana kaaphee achchha tha, philm ke lie ton set karana.
MAY BE  That was the reason for the film's success	shayed yahee film kii safalata kaa kaaran thaa	may bai yahee philm kee saphalata ka kaaran tha
Yeah, it was pretty surprising when Hawkey got enslaved so early in the movie though.	haan, yeh bahut ashcharya kii baat thee jaba hockey koo film mein itani jaldi gulam banaa liya gayaa.	Haan jab Hawkeye movie me itni jaldi enslave hogaya to wo kaafi surprising tha
It refers to   image capture skills	yeh chhavi capture kaushal koo sandarbhit kartaa haye	Wo image capture skills k baare me hai
PLEASE CHAT ME FAST	kripaya mujhase jaldi chait karein	Please mujhse chat karo fast
I'm not sure about that, but Nick Fury is always so cool. Too bad the bad guys always have to get one up on them.	main iss baare mein nishchit naheen huun, lekin nick fury hamesha bahut achche rahate hain. bahut buri baat haye kii burey logon koo hamesha unase aage nikalana padata haye.	Main uske baare me sure nahi hu , but Nick Fury hamesha bahut cool rahta hai. Afsos bad guys hamesha ek kadam aage rahte hai
It's their nature and it's impossible	yeh unaka swabhaav haye aur yeh asambhav haye	Wo unka nature hai aur wo impossible hai
I guess so. I wonder what the deal is with the leader of those Chitauri? Very mysterious.	mujhe bhee aisaa hii lagata haye. mujhe ashcharya haye kii una chitauri key netaa key saath kyaa sauda huaa haye? bahut rahasyamay.	I guess so. Akhir Chitauri k leader ka kya mamla hai. Kaafi mysterious
It was a mystery to the last	yeh aakhir taka ack rahasya thaa	Wo bilkul last tak mystery tha
For this film at least I guess. It was pretty sad when Coulson died. Did that scene get you?	iss film key liye cumm seey cumm meraa anuman haye. jaba colson kii mrityu hui tou yeh bahut dukhad thaa. kyaa vaha drishya aapako pasand aayaa?	At least is film k liye I guess. Jab Coulson mara kaafi sad tha. Kya us scene me feeling aayi?
There is a glimpse of seeing	dekhane kii ack jhalak haye	Dekhne ki ek jhalak thi
Yeah, a t least it brought the Avengers together finally, no need for them to be fighting each other the whole time.	haan, cumm seey cumm isane antatah avengers koo ack saath laa diyaa, unhein poore samay ack-dusare seey ladane kii koee zaroorat naheen haye.	Haan , at least sabhi avengers ko saath le aayi, pure time aapas  me ladne ki koi jarurat nai thi
There is no need	koee jarurat naheen haye	koi zarurat nhi
Absolutely. Beat on Loki, like the Hulk did. Who kicked the most butt do you think?	bilkul. loki koo maaro, jaise hulk ney kiya thaa. aapke khyaal seey sabse zyaadaa laat kisane maaree?	absolutely loki ko maro jaise hulk ne mara tha uski butt par lath kisne mari
I think so	mujhe bhee aisaa hii lagata haye	muje lgta hai aisa
I loved that Hulk saved Iron Man when he was falling, such a great moment.	mujhe achchha lagaa kii hulk ney iron maine koo taba bachaaya jaba vaha gir rhaa thaa, yeh bahut achchha kshan thaa.	muje acha lga ki hulk ne Iron Man ko bachaya girne se kitna acha samay tha wo
I like Hulk too	mujhe hulk bhee pasand haye	muje bhi Hulk pasand hai
Yeah he's the best. It's great that the whole team had to work together to save the day in the end, don't you think?	haan vaha sarvshreshth haye. yeh bahut achchha haye kii aakhirkaar dinn bachaane key liye poori team koo ack saath kaam karna padaa, kyaa aapako naheen lagata?	tumhe nhi lgta wo sabse acha hai, bhote badi baat hai ki puri team sath mai kaam krti hai din ko akhir mai bachane ke liye ?
I knew and I thought	main jaanata thaa aur maine socha	muje pta hai mai soch rha tha
There were certainly some high stakes with that nuclear missile heading for New York.	newyork kii or badh rahee usa paramanu missile key saath nishchit roop seey kuchh badey khatare they.	kuch to bhote bada stake hai use nuclear missile mai jo new york ki teraf ja rhi thi
Hi there. What did you think of the movie?	namaste. aapane film key baare mein kyaa socha?	namaste. aapane philm ke baare mein kya socha?
Hello?	namaste?	namaste?
Hi, I think it's great, it would be good as a B roadway musical	namaste, mujhe lagata haye kii yeh bahut achchha haye, broadway sangeet key roop mein yeh achchha hoga	namaste, mujhe lagata hai ki yah bahut achchha hai, yah bee rodave sangeet ke roop mein achchha hoga
Why do you think it would be great as a Broadway musical?	aapako aisaa kyon lagata haye kii broadway sangeet key roop mein yeh bahut achchha hoga?	aapako kya lagata hai ki brodave sangeet ke roop mein yah bahut achchha hoga?
mainly the singing but also since the story is about a journey.	mukhya roop seey gaayan, lekin choonki kahani ack yatra key baare mein haye.	mukhy roop se gaayan lekin jab se kahaanee ek yaatra ke baare mein hai.
What do you think?	aap kyaa sochate hain?	tum kya sochate ho?
The music in movie is very catchy and enjoyable, so I agree.	film kaa sangeet bahut karnapriya aur anandadayak haye, isaliye main sahmat huun.	philm mein sangeet bahut hee aakarshak aur aanandadaayak hai, isalie main sahamat hoon.
Whose journey did you find most compelling?	aapako kisaki yatra sabse adhik aakarshak luggy?	aapane kisakee yaatra ko sabase adhik sammohak paaya?
Anna's journey	annaa kii yatra	anna kee yaatra
Did you think the conclusion was satisfying for her character?	kyaa aapako lagaa kii nishkarsh usake charitra key liye santoshjanak thaa?	kya aapako lagata hai ki nishkarsh usake charitr ke lie santoshajanak tha?
She was trying to be herself and at the same time protect her sister so I think it was satisfying since that was accomplished.	vaha khud banane kii koshish curr rahee thee aur saath hii apani bahan kii raksha karane kii koshish curr rahee thee, isaliye mujhe lagata haye kii yeh puuraa honey key baad seey yeh santoshjanak thaa.	vah khud hone kee koshish kar rahee thee aur saath hee saath apanee bahan kee raksha kar rahee thee, isalie mujhe lagata hai ki yah poora hone ke baad se santusht thee.
I agree	main sahmat huun	main sahamat hoon
Have you heard of the fairy tale that the movie was based on?	kyaa aapane usa purry kathaa key baare mein sunaa haye jiss parr yeh film adharit thee?	kya aapane paree katha ke baare mein suna hai jo philm par aadhaarit thee?
No, never.	naheen, kabhi naheen.	nahin kabhee nahin.
Which character do you most admire?	aap kiss kirdar kii sabse adhik prashansa karate hain?	aap kis charitr kee sabase adhik prashansa karate hain?
hello?	namaste?	namaskar
Hello!	namaste!	Hello!
What do you think of John Lee Hancock?	aap johnn lii hancock key baare mein kyaa sochate hain?	Tum John Lee Hancock k baare me kya sochte ho?
Hello.	namaste.	Hello
Hey! Have you ever seen The Social Network?	arey! kyaa aapane kabhi soshal network dekhaa haye?	hey! kya The social network dekha?
I have not, but I know it was filmed in 2010.	maine naheen kiya haye, lekin mujhe pataa haye kii ise 2010 mein filmaya gayaa thaa.	nahi yar. lekin muje patha hein ki voh 2010 mien filmed huva
Have you seen it?	kyaa aapane ise dekhaa haye?	aap dekha?
I personally enjoyed it. It tells the story of the founding of Facebook. Do you like movies based on reality?	maine vyaktigat roop seey iska anand liya. yeh facebook kii sthaapana kii kahani bataata haye. kyaa aapako vaastaviktaa parr adharit filmein pasand hain?	mein personally enjoy kiya.. facebook ka story hein yar.. reality based movie dekhna pasand hein?
I do. I also like Jesse Eisenberg and Justin Timberlake. The movie got good reviews, so maybe I will watch it.	main kartaa huun. mujhe jessy easenberg aur justine timberlake bhee pasand hain. film koo achche review mille hain, isaliye shayed main ise dekhunga.'	muje bhi.. muje jesse eisenberg aur justin timberlake pasand hein. yeh movie ache reviews nikli, maybe mein watch jarur karunga
I really would recommend it myself. It was extremely good. Jesse Eisenberg plays Zuckerburg in such an intense way. It's a great film.	main vaastav mein swayam isaki anushansa karunga. yeh behad achchha thaa. jessy easenberg ney zuckerberg kaa kirdar bahut hii gahan tareeke seey nibhaaya. yeh ack behtareen film haye.	tho mein jarur recommend karunga.. yeh ache hein.. kya jesse eisenberg yaani zuckerburg ka role play intense se kiya.. voh tho badiya film hein
Did you read the book the movie was based on? The Accidental Billionaires?	kyaa aapane vaha kitab padhee jiss parr yeh film adharit thee? aakasmik arabpati?	kya aap us book ko read kiya jo yeh movie? the accidental billionaires?
I just learned it was based on the book today. I'm definitely going to have to read it.	mujhe aaj hii pataa chalaa kii yeh kitab parr adharit thaa. mujhe nishchit roop seey ise padhana hoga.	mein kuch learn kiya hein us book se aaj.. mein definitely padunga
Apparently, the biographical part of the movie isn't exactly true to life, since the movie was based on the book. Mark Zuckerberg had no part in contributing to the movie.	jahira taur parr, film kaa jeevani vaalaa hissa jeevan key prati bilkul sach naheen haye, kyonki film kitab parr adharit thee. film mein yogdan dene mein maark jukerberg kii koee bhoomika naheen thee.	acha tho biographical part tho is movie mein jarur sach kaha hoga.. kyon ki is movie tho book ka based hein.. mark zuckerberg tho koi contribute nahi deya hoga
That is certainly interesting to know. I always wondered about it myself. Apparently, Saverin was the only consultant with any true to life information.	yeh jaanana nishchit roop seey dilchasp haye. main swayam isake baare mein hamesha sochata rahata thaa. jahir taur parr, severine jeevan seey judee sachchi jaankaari rakhane vaale ekmatra salaahkaar they.	Ye janna jarur interesting hai. Main hamesha is bare me sochta tha. Apparently, Saverin akela consultant tha jiske paas koi true to life information thi.
Was it weird to see Armie Hammer play two people?	kyaa armi hammer koo dou logon kii bhoomika nibhaate dekhana ajib thaa?	Kya Armie Hammer ko do log play karte hue dekhna weird tha?
It was! To be honest with you they did such a good job that I had a hard time realizing they were both Armie Hammer. He is an amazing actor. I also think Facesmash is a hilarious startup name.	vaha thaa! imandari seey kahuun tou unhone itna achchha kaam kiya kii mujhe yeh samajhane mein kathinaaee hui kii way donon armi hammer they. vaha ack adbhut abhineta hain. mujhe bhee lagata haye kii facesmash ack prafullit karane vaalaa startup naam haye.	Wo tha! To be honest unhone itna accha kaam kiya ke mujhe realize nahi hua dono Armie Hammer the. Wo ek amazing actor hai. Main ye bhi sochta hu k Facesmash ek hilarious startup name hai
It is! and what a crazy story... basically he got dumped and made millions off of trying to get even with her.	yeh haye! aur kyaa ajib kahani haye... mool roop seey usey chhod diyaa gayaa aur usake saath talmel bithaane kii koshish mein usane lakhon rupaye kamaaye.	Ye hai! Kya crazy story hai ..basically wo dumped hogaya aur usse badle lete huye millions kama liye
How contentious of a person. Based off what you know of him would you have be friendly with him if you were in school with him at the time?	kitna vivadaspad vyakti haye. aap usake baare mein joe jaanate hain usake aadhar parr yadi aap usa samay usake saath school mein hotey tou kyaa aap usake saath mitratapurna vyavhaar karate?	Kinda contentious banda hai. Jitna tum abhi jaante ho, agar uske saath school me hote to kya uske sath friendly hote?
Hmm... probably not. He doesn't seem to have good luck keeping friends. How ironic as he invented Facebook. Do you think you'd have been friends?	humm... shayed naheen. aisaa lagata haye kii dost rakhane mein usaki kismat achchi naheen haye. kitni vidambana haye kii unhone facebook kaa aavishkaar kiya. kyaa aapako lagata haye kii aap dost hotey?	Hmm.. shayad nahi. Dost rakhne me to uska koi accha luck nahi hai. Kitna ironic hai k usne Facebook invent kiya. Tum kya sochte ho, kya uske dost hote?
Absolutely not 1	bilkul naheen 1	Bilkul nahi.
I thought it was ironic as well. I couldnt believe it.	mujhe bhee yeh vidambana hii luggy. main iss parr vishvaas naheen curr sakaa.	Maine bhi socha tha k ye ironic hai. Mujhe to believe nahi hua
The scene where Christy Lee says Facebook me is kinda funny, too. It certainly beats facesmash me.	vaha drishya jahaan christy lii kahati haye kii facebook mee, bhee thodaa ajib haye. yeh nishchit roop seey mujhe facemash seey maat detaa haye.	Wo scene jaha Christy Lee bolti hai Facebook me funny type ka hai. Certainly facesmash me bolne se to accha hai.
Agreed. It makes sense, but I had no idea how much help Zuckerberg had along the way... Especially from one of the founders of Napster!	maan gayaa. yeh samajh mein aataa haye, lekin mujhe naheen pataa thaa kii iss dauran zuckerberg koo kitni madad millie... khaskar napster key sansthapakon mein seey ack seey!	Agreed. Iska sense to banta hai but mujhe koi idea nahi tha ki Zuckerberg ko raaste me kitni help mili hai, especially Napster k ek founder se.
